LocationID,Borough,Zone,service_zone
1,EWR,Newark Airport,EWR
2,Queens,Jamaica Bay,Boro Zone
3,Bronx,Allerton/Pelham Gardens,Boro Zone
4,Manhattan,Alphabet City,Yellow Zone
7,Queens,Astoria,Boro Zone
12,Manhattan,Battery Park,Yellow Zone
13,Manhattan,Battery Park City,Yellow Zone
43,Manhattan,Central Park,Yellow Zone
48,Manhattan,Clinton East,Yellow Zone
50,Manhattan,Clinton West,Yellow Zone
68,Manhattan,East Chelsea,Yellow Zone
79,Manhattan,East Village,Yellow Zone
87,Manhattan,Financial District North,Yellow Zone
88,Manhattan,Financial District South,Yellow Zone
90,Manhattan,Flatiron,Yellow Zone
100,Manhattan,Garment District,Yellow Zone
107,Manhattan,Gramercy,Yellow Zone
113,Manhattan,Greenwich Village North,Yellow Zone
114,Manhattan,Greenwich Village South,Yellow Zone
125,Manhattan,Hudson Sq,Yellow Zone
128,Brooklyn,Jamaica,Boro Zone
132,Queens,JFK Airport,Airports
138,Queens,LaGuardia Airport,Airports
140,Manhattan,Lenox Hill East,Yellow Zone
141,Manhattan,Lenox Hill West,Yellow Zone
142,Manhattan,Lincoln Square East,Yellow Zone
143,Manhattan,Lincoln Square West,Yellow Zone
144,Manhattan,Little Italy/NoLiTa,Yellow Zone
148,Manhattan,Lower East Side,Yellow Zone
151,Manhattan,Manhattan Valley,Yellow Zone
158,Manhattan,Meatpacking/West Village West,Yellow Zone
161,Manhattan,Midtown Center,Yellow Zone
162,Manhattan,Midtown East,Yellow Zone
163,Manhattan,Midtown North,Yellow Zone
164,Manhattan,Midtown South,Yellow Zone
170,Manhattan,Murray Hill,Yellow Zone
186,Manhattan,Penn Station/Madison Sq West,Yellow Zone
209,Manhattan,Seaport,Yellow Zone
211,Manhattan,SoHo,Yellow Zone
224,Manhattan,Stuy Town/PCV,Yellow Zone
229,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone
230,Manhattan,Sutton Place/Turtle Bay South,Yellow Zone
231,Manhattan,Times Sq/Theatre District,Yellow Zone
232,Manhattan,TriBeCa/Civic Center,Yellow Zone
233,Manhattan,UN/Turtle Bay South,Yellow Zone
234,Manhattan,Union Sq,Yellow Zone
236,Manhattan,Upper East Side North,Yellow Zone
237,Manhattan,Upper East Side South,Yellow Zone
238,Manhattan,Upper West Side North,Yellow Zone
239,Manhattan,Upper West Side South,Yellow Zone
243,Manhattan,Washington Heights South,Yellow Zone
244,Manhattan,Washington Heights North,Yellow Zone
246,Manhattan,West Chelsea/Hudson Yards,Yellow Zone
249,Manhattan,West Village,Yellow Zone
261,Manhattan,World Trade Center,Yellow Zone
262,Manhattan,Yorkville East,Yellow Zone
263,Manhattan,Yorkville West,Yellow Zone
265,NA,NA,N/A
